,american_flow,columbia_flow,american_flow_d,columbia_flow_d,american_flow_t,columbia_flow_t,american_flow_s,american_flow_r,columbia_flow_s,columbia_flow_r
1933-01-31,10.7887,24.1,-91.56755676133947,-72.49628991804431,102.35625676133948,96.5962899180443,-88.00662234354922,-3.56093441779025,-82.47777796319369,9.981488045149376
1933-02-28,14.6115,20.81,-87.76707396510974,-75.84438331867574,102.37857396510975,96.65438331867574,-57.34257169017661,-30.424502274933133,-83.62694279239656,7.7825594737208235
1933-03-31,19.6236,22.96,-82.77729116888,-73.75247671930717,102.40089116888,96.71247671930718,-12.40887460823259,-70.3684165606474,-81.47396476445657,7.7214880451494
1933-04-30,21.9739,37.66,-80.44930837265024,-59.110570119938615,102.42320837265024,96.77057011993861,18.194501045140022,-98.64380941779027,-65.90634387937372,6.795773759435107
1933-05-31,28.0054,118.93,-74.44012557642048,22.10133647942996,102.4455255764205,96.82866352057005,46.35554812708408,-120.79567370350456,30.712705577137704,-8.611369097707744
1933-06-30,66.0632,331.31,-36.404642780190756,234.42324307879852,102.46784278019075,96.88675692120148,65.97602378045664,-102.3806665606474,197.2485407479348,37.17470233086371
1933-07-31,113.4373,399.27,10.947140016038986,302.32514967816707,102.49015998396101,96.94485032183292,108.6433780052578,-97.69623798921882,204.42223306158914,97.90291661657793
1933-08-31,162.0007,250.89,59.48822281226873,153.88705627753563,102.51247718773126,97.00294372246435,117.9605643729162,-58.472341560647465,84.81628251810056,69.07077375943507
1933-09-30,156.6771,116.1,54.14230560849849,19.038962876904222,102.5347943915015,97.06103712309577,28.430704312003037,25.711601296495452,-5.775382311102314,24.814345188006534
1933-10-31,17.9246,69.38,-84.63251159527177,-27.739130523727212,102.55711159527176,97.11913052372721,-60.23751646319579,-24.394995132075977,-49.47168999744803,21.73255947372082
1933-11-30,7.0792,52.95,-95.50022879904202,-44.22722392435864,102.57942879904202,97.17722392435864,-79.59720509553746,-15.903023703504559,-69.59192625522232,25.36470233086368
1933-12-31,4.0493,40.21,-98.55244600281227,-57.02531732499008,102.60174600281228,97.23531732499008,-87.96792944216487,-10.584516560647401,-78.87573394156804,21.850416616577967
1934-01-31,11.5816,35.4,-91.04246320658254,-61.893410725621514,102.62406320658253,97.29341072562151,-88.00662234354922,-3.0358408630333145,-82.47777796319369,20.584367237572174
1934-02-28,18.5192,28.88,-84.12718041035279,-68.47150412625295,102.64638041035279,97.35150412625295,-57.34257169017661,-26.78460872017618,-83.62694279239656,15.15543866614361
1934-03-31,53.8586,33.41,-48.81009761412303,-63.999597526884386,102.66869761412303,97.40959752688438,-12.40887460823259,-36.401223005890444,-81.47396476445657,17.47436723757218
1934-04-30,75.8608,102.22,-26.830214817893292,4.752309072484195,102.69101481789329,97.4676909275158,18.194501045140022,-45.024715863033315,-65.90634387937372,70.65865295185792
1934-05-31,89.3963,259.67,-13.31703202166355,162.14421567185278,102.71333202166355,97.52578432814724,46.35554812708408,-59.67258014874763,30.712705577137704,131.43151009471507
1934-06-30,116.2973,390.77,13.561650774566203,293.1861222712213,102.7356492254338,97.5838777287787,65.97602378045664,-52.41437300589044,197.2485407479348,95.93758152328647
1934-07-31,87.4991,277.51,-15.258866429204062,179.86802887058988,102.75796642920406,97.64197112941011,108.6433780052578,-123.90224443446186,204.42223306158914,-24.554204190999258
1934-08-31,45.1371,194.82,-57.643183632974306,97.11993546995845,102.7802836329743,97.70006453004154,117.9605643729162,-175.6037480058905,84.81628251810056,12.303652951857885
1934-09-30,18.7174,97.98,-84.08520083674456,0.22184206932702466,102.80260083674456,97.75815793067298,28.430704312003037,-112.5159051487476,-5.775382311102314,5.997224380429339
1934-10-31,5.4368,49.84,-97.38811804051481,-47.97625133130441,102.82491804051482,97.81625133130441,-60.23751646319579,-37.15060157731902,-49.47168999744803,1.4954386661436203
1934-11-30,5.5501,40.78,-97.29713524428507,-57.09434473193585,102.84723524428507,97.87434473193585,-79.59720509553746,-17.69993014874761,-69.59192625522232,12.49758152328647
1934-12-31,4.1626,27.44,-98.70695244805533,-70.49243813256729,102.86955244805533,97.93243813256728,-87.96792944216487,-10.73902300589046,-78.87573394156804,8.383295809000757
1935-01-31,6.2014,22.65,-96.69046965182557,-75.34053153319871,102.89186965182557,97.99053153319872,-88.00662234354922,-8.683847308276341,-82.47777796319369,7.137246429994974
1935-02-28,33.244,27.61,-69.67018685559583,-70.43862493383014,102.91418685559583,98.04862493383014,-57.34257169017661,-12.327615165419218,-83.62694279239656,13.188317858566421
1935-03-31,33.0174,28.18,-69.91910405936608,-69.92671833446158,102.93650405936609,98.10671833446159,-12.40887460823259,-57.51022945113348,-81.47396476445657,11.547246429994985
